station_id,station_id.1,latitude,longitude,elevation,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,band_0,band_1,band_2,band_3,band_4,cloud_type,predicted
WATG,WATG,-8.633333333333333,120.45,1170.0,03/01/2022 06:38:00,320.0,9.0,,9999.0,,,,BKN,1300.0,,,,,,,6,21.0,21.0,29.94,0,0,0,NOSIG,1009.54,5.785088487178856,-6.8943999880708,252.0,211.0,831.0,598.0,615.0,NonCB,NonCB
WATL,WATL,-8.266666666666667,122.96666666666668,9.0,03/01/2022 06:38:00,290.0,8.0,,9999.0,,,,FEW,2000.0,,,,,,,2,31.0,22.0,29.71,0,0,0,NOSIG,1006.24,7.517540966287266,-2.736161146605352,323.0,254.0,788.0,562.0,588.0,NonCB,NonCB
WATO,WATO,-8.483333333333333,119.88333333333334,20.0,03/01/2022 06:38:00,320.0,7.0,,9999.0,,,,SCT,1800.0,,,,,,,4,30.0,25.0,29.77,0,0,0,NOSIG,1008.18,4.499513267805777,-5.362311101832844,268.0,320.0,851.0,637.0,651.0,NonCB,NonCB
WATS,WATS,-10.5,121.83333333333331,26.0,03/01/2022 06:38:00,290.0,5.0,,9999.0,,,,SCT,1400.0,,,,,,,4,30.0,25.0,29.71,0,0,0,NOSIG,1006.14,4.698463103929542,-1.7101007166283448,481.0,380.0,745.0,570.0,590.0,NonCB,NonCB
WATT,WATT,-10.17,123.67,102.0,03/01/2022 06:38:00,290.0,9.0,,9000.0,,,,FEW,1600.0,SCT,1600.0,,,,,4,31.0,26.0,29.74,0,0,0,NOSIG RMK CB IN CLIMB OUT,1006.63,8.457233587073175,-3.078181289931021,524.0,493.0,790.0,760.0,766.0,CB,CB
WAWW,WAWW,-4.1,122.43333333333334,50.0,03/01/2022 06:38:00,280.0,3.0,,9999.0,VCTS,,,FEW,1500.0,SCT,1500.0,,,,,4,29.0,25.0,29.77,13,0,0,CB TO S AREA,1008.01,2.9544232590366244,-0.5209445330007899,469.0,423.0,902.0,753.0,743.0,CB,CB
WIDD,WIDD,1.12,104.12,38.0,03/01/2022 06:38:00,320.0,4.0,,9999.0,,,,SCT,1400.0,,,,,,,4,30.0,23.0,29.83,0,0,0,NOSIG,1010.07,2.5711504387461583,-3.064177772475911,185.0,184.0,977.0,889.0,867.0,NonCB,NonCB
WIDN,WIDN,0.92,104.52,18.0,03/01/2022 06:38:00,220.0,7.0,,9999.0,,,,SCT,1700.0,,,,,,,4,29.0,24.0,29.8,0,0,0,NOSIG,1009.2,4.499513267805774,5.362311101832846,272.0,260.0,973.0,861.0,841.0,NonCB,NonCB
WIHH,WIHH,-6.25,106.88,25.0,03/01/2022 06:38:00,30.0,7.0,,6000.0,,,,SCT,2000.0,,,,,,,4,34.0,21.0,29.74,0,0,0,NOSIG,1007.11,-3.5,-6.062177826491071,145.0,185.0,835.0,555.0,567.0,NonCB,NonCB
WIII,WIII,-6.13,106.67,8.0,03/01/2022 06:38:00,260.0,15.0,,9999.0,,,,FEW,2200.0,,,,,,,2,34.0,24.0,29.77,0,0,0,NOSIG,1008.24,14.77211629518312,2.6047226650039548,165.0,194.0,875.0,637.0,643.0,NonCB,NonCB
WIKK,WIKK,-2.17,106.13,33.0,03/01/2022 06:38:00,240.0,6.0,,9999.0,,,,SCT,1500.0,,,,,,,4,31.0,24.0,29.77,0,0,0,NOSIG,1008.09,5.19615242270663,3.0000000000000027,260.0,222.0,919.0,652.0,641.0,NonCB,NonCB
WIOK,WIOK,-1.85,109.97,9.0,03/01/2022 06:38:00,280.0,6.0,,9999.0,,,,SCT,1200.0,,,,,,,4,32.0,25.0,29.8,0,0,0,NOSIG,1009.24,5.908846518073249,-1.0418890660015798,132.0,171.0,847.0,584.0,600.0,NonCB,NonCB
WIOO,WIOO,-0.15,109.4,3.0,03/01/2022 06:38:00,250.0,7.0,,9999.0,,,,BKN,1100.0,,,,,,,6,30.0,24.0,29.77,0,0,0,TEMPO FM0730 4000 RA,1008.28,6.577848345501359,2.39414100327968,218.0,216.0,955.0,805.0,791.0,NonCB,NonCB
WIOS,WIOS,0.12,111.52,30.0,03/01/2022 06:38:00,250.0,3.0,,7000.0,,,,BKN,1300.0,,,,,,,6,29.0,24.0,29.8,0,0,0,NOSIG,1009.13,2.8190778623577253,1.0260604299770058,313.0,287.0,978.0,906.0,886.0,NonCB,NonCB
WIPP,WIPP,-2.88,104.7,10.0,03/01/2022 06:38:00,290.0,5.0,,9999.0,,,,BKN,1000.0,,,,,,,6,31.0,23.0,29.77,0,0,0,NOSIG,1008.24,4.698463103929542,-1.7101007166283448,214.0,211.0,943.0,818.0,805.0,NonCB,NonCB
